step,max_kl,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,collisions,collisions_human,fuel,circumference,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
63,0.01,0.0001,11.9542,1333.33,5.0338,4.98702,2.12938,5.035,0,0,1023.24,640,5.62903e-05,0.0694036,0.0839902,0.0146586,-0.117245,0.226423,0.00417216,-0.0589813,-0.0631915,0,0.0065495,2.60224,0.25091,1806.65
64,0.01,0.0001,7.43578,0,0,0,0,0,0,0,0,640,-0.00118255,0.0729858,0.00200375,-0.0709821,-0.191479,0.270411,0.00271279,0.00520243,0.0033975,0,0.00612425,2.60098,0.246922,1848.63
65,0.01,0.0001,11.4774,1499,5.75897,5.80502,2.40186,5.75779,0.5,0.25,1144.96,640,0.000270762,0.0718587,0.0779402,0.00603664,-0.119446,0.247119,0.00299296,-0.0462888,-0.0498586,0,0.00667625,2.59499,0.318479,1862.89
66,0.01,0.0001,15.2076,1884,7.51338,7.75567,3.07344,7.50717,2,1,1524.26,640,0.0004061,0.0748034,0.0469199,-0.0278835,0.0174619,0.257046,0.00236393,0.00293558,0.000999076,0,0.00671236,2.56571,0.276486,1900.34
67,0.01,0.0001,9.97621,917.667,5.04328,5.50282,2.7105,5.03151,0.666667,0.333333,735.192,640,-3.60693e-05,0.0753653,0.0568665,-0.0184879,-0.191451,0.226427,0.00213883,0.0349434,0.0335006,0,0.00532131,2.5467,0.27994,1942.01
68,0.01,0.0001,11.0165,1241,5.77212,5.95618,2.52108,5.7674,1,0.5,946.47,640,2.69731e-05,0.0764001,0.0607967,-0.0155764,-0.0431087,0.230816,0.00440534,-0.0603192,-0.0648579,0,0.00851334,2.49959,0.287849,1956.4
69,0.01,0.0001,15.7235,2000,7.67312,7.66365,2.33727,7.67336,0,0,1445.56,640,0.000216822,0.0784015,0.110175,0.0317316,-0.0373309,0.257754,0.00165029,-0.0317316,-0.0334825,0,0.00757118,2.45355,0.254369,1972.97
70,0.01,0.0001,13.2805,2000,7.86837,7.89179,3.0566,7.86777,0,0,1547.36,640,0.000666809,0.0787633,0.146299,0.0676521,-0.0111756,0.254108,0.00552868,-0.0676521,-0.0729934,0,0.00761078,2.49842,0.302696,1987.22
71,0.01,0.0001,13.4462,2000,8.01095,7.95133,2.60211,8.01248,0,0,1465.73,640,0.000648181,0.0811166,0.133523,0.0522918,0.00625871,0.255487,0.00363041,-0.0522918,-0.0553364,0,0.00630299,2.47101,0.324618,2001.62
72,0.01,0.0001,13.9676,2000,7.295,7.29032,2.86254,7.29512,0,0,1471.6,640,9.38756e-05,0.0835901,0.108184,0.0245778,-0.170503,0.284624,0.00106291,-0.0245778,-0.026965,0,0.00564029,2.50248,0.256008,2016.49
73,0.01,0.0001,13.2053,2000,7.72375,7.88844,2.90561,7.71953,0,0,1491.6,640,0.000331459,0.0848047,0.131773,0.0469378,-0.103389,0.321566,0.00285772,-0.0469378,-0.0505041,0,0.00736653,2.47975,0.2622,2030.61
74,0.01,0.0001,7.63335,0,0,0,0,0,0,0,0,640,-4.58005e-05,0.0863346,0.0292247,-0.05711,-0.18245,0.193807,0.00330418,-0.0142825,-0.0172051,0,0.00610365,2.49897,0.282493,2052.99
75,0.01,0.0001,11.4565,1000,3.78503,3.69763,1.68963,3.78727,0,0,767.778,640,-0.000299437,0.0877758,0.0727367,-0.0149485,-0.40041,0.222567,0.00529348,-0.0231658,-0.026153,0,0.00644842,2.51695,0.290103,2077.28
76,0.01,0.0001,10.0996,1000,3.84262,3.90648,1.53128,3.84098,0,0,807.733,640,-4.34654e-05,0.0891612,0.0843795,-0.00469996,-0.252486,0.227785,0.00299594,-0.00763234,-0.0103716,0,0.00738253,2.4922,0.317254,2098.16
77,0.01,0.0001,13.1449,2000,7.58022,7.45869,2.69539,7.58333,0,0,1436.52,640,0.000332802,0.090303,0.125741,0.0353978,-0.235363,0.310425,0.00164731,-0.0331158,-0.0359698,0,0.00734359,2.51194,0.267295,2112.21
78,0.01,0.0001,14.1072,2000,7.3392,7.38616,3.1884,7.338,0,0,1442.88,640,8.17304e-05,0.0931995,0.139492,0.0465889,-0.200385,0.32067,0.00287684,-0.0465889,-0.0493018,0,0.00717193,2.48832,0.321653,2127.31
79,0.01,0.0001,13.2142,2000,7.83396,7.64658,3.30502,7.83877,0,0,1605.03,640,0.000263036,0.0948108,0.12281,0.0278242,-0.252705,0.282225,0.00146635,-0.0278242,-0.0298986,0,0.00759232,2.42634,0.298622,2141.49
80,0.01,0.0001,13.2154,2000,7.71182,7.71647,2.49478,7.7117,0,0,1423.59,640,0.000467018,0.0958754,0.127405,0.0313082,-0.123027,0.259908,0.0016827,-0.0313082,-0.0335639,0,0.00752436,2.43737,0.292953,2155.62
81,0.01,0.0001,9.43976,0,0,0,0,0,0,0,0,640,-0.000670826,0.0984303,0.0142666,-0.0841636,-0.718733,0.210459,0.0045442,-0.0139518,-0.0166267,0,0.00713603,2.43846,0.301343,2180
